Touchpoint,Stakeholder,Possible Causes,Reasons,Possible Process Issues,Symptoms,Effect of Symptom
Access Platform for Online Consultation,"DocPlanner, Doctor",Platform downtime,Platform reliability issues,"Platform downtime prevents consultations, causing loss of business.","Patient cannot connect for a consultation, leading to missed appointments.","Patient may miss their consultation, leading to potential health risks."
Access Platform for Online Consultation,"DocPlanner, Doctor",Difficulty connecting with the doctor,Poor connectivity,"Connection issues disrupt the consultation process, reducing its effectiveness.","Patient faces disruptions during the consultation, leading to frustration.","Patient frustration increases, potentially leading to discontinuation of the service."
Access Platform for Online Consultation,"DocPlanner, Doctor",Inadequate technical support,Lack of support,Lack of support during technical issues leaves patients frustrated.,"Patient struggles to get help with technical issues, reducing trust in the service.","Patient frustration grows, leading to a negative view of the platform."
Attend Online Consultation,"DocPlanner, Doctor",Poor audio/video quality,Quality of tech equipment,Poor quality reduces patient confidence in online consultations.,"Patient perceives poor quality in the consultation, reducing confidence.","Patient loses confidence in the consultation process, affecting treatment adherence."
Attend Online Consultation,"DocPlanner, Doctor",Difficulty accessing prescriptions,Lack of immediate follow-up,Difficulty in accessing prescriptions can delay treatment.,"Patient cannot easily get their prescriptions, delaying treatment.","Patient delays in treatment, leading to worsening conditions."
Attend Online Consultation,"DocPlanner, Doctor",Lack of immediate post-consultation support,Interface issues,Lack of immediate follow-up may result in unresolved patient issues.,"Patient feels abandoned after consultation, as issues remain unresolved.","Patient feels abandoned, reducing overall satisfaction with the service."
Attend Online Consultation,"Doctor, Patient",Poor communication between doctor and patient,Doctor not trained in effective online communication,Misunderstandings leading to incorrect diagnosis or treatment,Patient feels confused or unsure about the consultation,"Patient may not follow prescribed treatment, leading to worsening conditions"
Attend Online Consultation,"Doctor, Patient",Lack of empathy or attentiveness from doctor,Doctor's focus is divided due to other tasks or stress,"Patient feels undervalued, leading to dissatisfaction",Patient feels ignored or not properly listened to,"Patient may not return for follow-ups, impacting health outcomes"
Attend Offline Consultation,"Doctor, InternalSystem",Doctor delays,Coordination problems between doctor and systems,Delays in consultation affect patient flow and satisfaction.,"Patient experiences delays, reducing trust in the clinic's efficiency.",Patient trust in the clinic's efficiency and reliability decreases.
Attend Offline Consultation,"Doctor, InternalSystem",Issues with patient records,Delays in record updates,Incomplete records may lead to incorrect follow-up actions.,"Patient sees incorrect or missing records, leading to doubts about follow-up care.","Patient doubts the accuracy of their care, reducing trust in the service."
Attend Offline Consultation,"Doctor, InternalSystem",Poor communication between systems,Coordination problems,Poor system communication may lead to missed or delayed treatments.,Patient is unsure if they will receive the necessary treatment due to system issues.,"Patient is uncertain about receiving proper care, leading to anxiety."
Attend Offline Consultation,"Doctor, Patient",Poor communication between doctor and patient,"Doctor not focused on patient, missing critical cues",Misunderstandings leading to incorrect diagnosis or treatment,Patient feels confused or unsure about the consultation,"Patient may not follow prescribed treatment, leading to worsening conditions"
Attend Offline Consultation,"Doctor, Patient",Lack of empathy or attentiveness from doctor,Doctor's demeanor is perceived as indifferent or rushed,"Patient feels undervalued, leading to dissatisfaction",Patient feels ignored or not properly listened to,"Patient may not return for follow-ups, impacting health outcomes"
"Follow-up Procedures (e.g., Exams, Surgery)","Doctor, External Providers",Delayed or incorrect referrals,Breakdowns in referral process,Referral delays can worsen patient conditions.,Patient's condition worsens due to delays in referrals.,"Patient's condition may worsen, leading to dissatisfaction and potential complaints."
"Follow-up Procedures (e.g., Exams, Surgery)","Doctor, External Providers",Lack of coordination with external providers,Lack of follow-up systems,Coordination issues with providers may lead to failed procedures.,Patient's procedure is mishandled due to poor coordination.,"Patient may experience failed procedures, reducing trust in healthcare providers."
"Follow-up Procedures (e.g., Exams, Surgery)","Doctor, External Providers",Poor follow-up communication,Communication gaps,Poor follow-up communication may result in unresolved patient concerns.,"Patient does not receive follow-up information, feeling unsupported.","Patient feels unsupported, leading to decreased satisfaction and trust."
Leave Review and Feedback,DocPlanner,Complicated review process,Complex user interface,"Complex review process reduces the number of reviews, affecting feedback quality.",Patient is discouraged from leaving reviews due to a complex process.,"Patient engagement decreases, leading to fewer reviews and feedback."
Leave Review and Feedback,DocPlanner,Lack of incentives to leave feedback,Lack of motivation for feedback,Lack of feedback incentives reduces patient engagement.,"Patient feels unmotivated to provide feedback, impacting service improvement.",Patient disengagement leads to missed opportunities for service improvement.
Leave Review and Feedback,DocPlanner,Unclear feedback impact,Poor feedback handling,Unclear feedback impact may cause reluctance in sharing experiences.,"Patient feels their feedback is not valued, reducing engagement.","Patient may not return to the platform, reducing overall engagement."
